review_group,SITE_SK,series,COUNTER_SK,DIRECTION_SK,start,end,confidence,reviewer,status
G0432,491,"North West (NONE, counter 314)",314,1421,,,medium,count-reviewer,proposed
G0432,491,"South East (NONE, counter 314)",314,1422,,,medium,count-reviewer,proposed
G0541,541,Eastbound / citybound (Ecocounter 2018-2024),234,312,,,medium,count-reviewer,proposed
G0541,541,Eastbound / citybound (Metrocount 2025-),354,1746,,,medium,count-reviewer,proposed
G0541,541,Westbound / outbound (Ecocounter 2018-2024),234,313,,,medium,count-reviewer,proposed
G0541,541,Westbound / outbound (Metrocount 2025-),354,1745,,,medium,count-reviewer,proposed
G0547,547,"King St citybound (eastbound, AM peak), counter 366",366,1770,,,high,count-reviewer,rejected
G0547,547,"King St outbound (westbound, PM peak), counter 366",366,1769,,,high,count-reviewer,rejected
G0547,568,"King St citybound (eastbound, AM peak), counter 239",239,329,,,high,count-reviewer,proposed
G0547,568,"King St citybound (eastbound, AM peak), counter 366",366,1770,,,high,count-reviewer,proposed
G0547,568,"King St outbound (westbound, PM peak), counter 239",239,328,,,high,count-reviewer,proposed
G0547,568,"King St outbound (westbound, PM peak), counter 366",366,1769,,,high,count-reviewer,proposed
G0551,551,"Northbound (Ecocounter, 2015-2025)",233,332,,,high,count-reviewer,proposed
G0551,551,"Northbound (MetroCount, 2025-)",367,1771,,,medium,count-reviewer,proposed
G0551,551,"Southbound (Ecocounter, 2015-2025)",233,333,,,high,count-reviewer,proposed
G0551,551,"Southbound (MetroCount, 2025-)",367,1772,,,medium,count-reviewer,proposed
G0560,560,Eastbound/citybound (Metrocount 2025-),370,1778,,,medium,count-reviewer,proposed
G0560,560,Northbound/outbound (Ecocounter 2014-2022),229,330,,,medium,count-reviewer,proposed
G0560,560,Southbound/citybound (Ecocounter 2014-2022),229,331,,,medium,count-reviewer,proposed
G0560,560,Westbound/outbound (Metrocount 2025-),370,1777,,,medium,count-reviewer,proposed
G0569,569,East (IN),383,1812,,,high,count-reviewer,proposed
G0569,569,West (OUT),383,1838,,,high,count-reviewer,proposed
G0569,570,North (IN),383,1820,,,high,count-reviewer,proposed
G0569,570,South (OUT),383,1839,,,high,count-reviewer,proposed
G0569,571,East (OUT),383,1817,,,high,count-reviewer,proposed
G0569,571,West (IN),383,1805,,,high,count-reviewer,proposed
G0569,572,East (OUT),383,1804,,,high,count-reviewer,proposed
G0569,572,West (IN),383,1828,,,high,count-reviewer,proposed
G0569,573,North (OUT),383,1851,,,high,count-reviewer,proposed
G0569,573,South (IN),383,1835,,,high,count-reviewer,proposed
G0569,574,East (IN),383,1825,,,high,count-reviewer,proposed
G0569,574,West (OUT),383,1848,,,high,count-reviewer,proposed
G0569,575,East (OUT),383,1853,,,high,count-reviewer,proposed
G0569,575,West (IN),383,1852,,,high,count-reviewer,proposed
G0569,576,North,383,1830,,,high,count-reviewer,proposed
G0569,576,South,383,1813,,,high,count-reviewer,proposed
