review_group,SITE_SK,DIRECTION_SK,start,end,action,confidence,diagnosis,reviewer,status
G0121,121,,2020-12-01,2020-12-01,missing,high,"Data ends at 12:30, and the zeros after it are counted as valid, before a 6-week gap.",count-reviewer,proposed
G0121,121,,2021-03-13,2021-03-15,restore,medium,"zero_outage removed low counts that both directions show in the same sparse pattern all day; this is weather or holiday low use, not an outage.",count-reviewer,proposed
G0121,121,,2021-03-19,2021-03-23,restore,medium,"zero_outage removed low counts that both directions show in the same sparse pattern all day; this is weather or holiday low use, not an outage.",count-reviewer,proposed
G0121,121,,2021-08-23,2021-08-25,restore,medium,"zero_outage removed low counts that both directions show in the same sparse pattern all day; this is weather or holiday low use, not an outage.",count-reviewer,proposed
G0121,121,,2022-07-01,2022-07-12,missing,high,"During the July 2022 rain event the sensor produced phantom counts that are identical in both directions (e.g. 15/15 in every overnight slot), inflating counts up to 15 times.",count-reviewer,proposed
G0121,121,,2024-06-21,2024-06-23,restore,medium,"zero_outage removed low counts that both directions show in the same sparse pattern all day; this is weather or holiday low use, not an outage.",count-reviewer,proposed
G0121,121,63,2010-10-24,2010-10-25,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,63,2011-04-15,2011-04-17,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,63,2011-06-11,2011-06-13,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,63,2011-09-24,2011-09-26,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,63,2011-11-25,2011-11-26,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,63,2013-02-08,2013-02-21,missing,medium,"Direction 63 also recorded every direction-64 rider, so its counts are its own flow plus a copy of 64 and the site total is inflated.",count-reviewer,proposed
G0121,121,63,2013-02-22,2013-02-24,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,63,2024-06-01,2024-06-02,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,64,2010-09-03,2010-09-04,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,64,2011-04-25,2011-04-26,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,64,2012-12-25,2012-12-26,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,64,2020-11-05,2020-11-06,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,64,2021-11-20,2021-11-22,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,64,2023-05-08,2023-05-08,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0121,121,64,2026-02-21,2026-02-21,restore,medium,"zero_outage removed a low-traffic stretch (rain, holiday or weekend) that the other direction of the same counter shows at the same low level, so the counts are real.",count-reviewer,proposed
G0125,125,,2011-11-02,2011-11-02,missing,medium,"Installation day: counting starts mid-afternoon, so the day is partial.",count-reviewer,proposed
G0125,125,,2012-03-15,2012-03-15,missing,medium,Restart day after a 4-month warning gap: counts begin only in the late afternoon.,count-reviewer,proposed
G0125,125,,2015-07-29,2015-08-03,uncertain,low,"A sudden drop to 1-6 bikes a day at the start of the disruption: this could be a real path closure with a few riders still using it, or the start of the counter fault.",count-reviewer,proposed
G0125,125,,2015-08-04,2017-12-01,missing,high,"During a long disruption (probably the path closed for M4 widening works) the counter logged mostly warning days, and the days in between are bursts that register at the same moments in both directions (work vehicles or plant crossing the strip), not cyclists.",count-reviewer,proposed
G0125,125,,2018-10-16,2018-10-16,missing,medium,"Restart day after a 12-day warning outage: zero all day except one count at 22:45, so the counter was not recording.",count-reviewer,proposed
G0125,125,,2021-10-08,2021-10-08,missing,low,"Last day before a 9-month gap: counts stop at 11:00, so the day looks truncated.",count-reviewer,proposed
G0125,125,,2022-07-04,2022-07-04,missing,low,"Restart day after the 2021-22 gap: counts begin only at 13:45, so the day is partial.",count-reviewer,proposed
G0125,125,50,2013-02-15,2013-02-28,missing,medium,"South West direction roughly tripled for two weeks and took on the North East direction's afternoon peak as well as its own morning peak, so it seems to have counted riders going the other way too; North East stayed normal.",count-reviewer,proposed
G0158,158,,2023-09-18,2026-09-22,direction_unreliable,high,Direction labels swapped around midday on 2023-09-18 (tube reinstalled reversed): the commute peaks flip from one direction to the other with no change in the total.,count-reviewer,proposed
G0158,158,,2024-03-08,2024-03-08,missing,high,"Counter was out until noon on a weekday (dir 93 read all zeros, dir 94 near zeros), then recovered, so the day is partial.",count-reviewer,proposed
G0158,158,,2024-05-23,2024-05-23,missing,high,"Both directions read exactly zero from 00:00 to 12:59 on a Thursday (counter outage, probably maintenance), so the day total is partial.",count-reviewer,proposed
G0158,158,93,2024-03-07,2024-03-07,missing,medium,"Dir 93 undercounted all day just before an outage, which points to a damaged tube; dir 94 looked normal.",count-reviewer,proposed
G0158,158,94,2021-08-23,2021-08-25,restore,high,"zero_outage removed a genuinely quiet spell; the other direction was just as low, so the counter was working.",count-reviewer,proposed
G0158,158,94,2022-07-01,2022-07-04,restore,high,zero_outage removed real low counts during the very wet early-July 2022 weekend; both directions dropped together.,count-reviewer,proposed
G0159,159,,2021-03-13,2021-03-23,restore,high,zero_outage removed genuine low counts on very wet days (14 March and the 18-23 March 2021 storms); the counter kept recording scattered bikes in both directions.,count-reviewer,proposed
G0159,159,,2023-12-24,2023-12-24,restore,medium,"The quiet Christmas Eve afternoon is genuine; the counter failure starts on 25 Dec, not at midday on the 24th.",count-reviewer,proposed
G0159,159,,2024-05-03,2024-05-22,halve,high,Tube counter reported every detection twice for 20 days in both directions; the automatic halving did not catch it.,count-reviewer,proposed
G0159,159,72,2021-08-23,2021-08-25,restore,high,"zero_outage removed direction 72 on a genuine washout day (24 Aug 2021) and the adjacent evening/morning, while direction 71 at the same low level was kept.",count-reviewer,proposed
G0161,161,,2022-02-11,2022-05-27,missing,medium,"Counter 106 began undercounting on 11 Feb 2022, with the north-east direction hit hardest, and did not recover before the counter was replaced.",count-reviewer,proposed
G0161,161,,2024-04-25,2024-04-28,missing,high,"The whole counter failed from the afternoon of 25 Apr until the warning outage on 29 Apr, and the zero_outage fix caught only part of it.",count-reviewer,proposed
G0161,161,,2024-05-09,2024-05-09,missing,low,Both directions went to zero from mid-afternoon on the day before the 10-15 May warning outage.,count-reviewer,proposed
G0161,161,509,2024-07-01,2024-07-05,uncertain,low,The south-west direction may also have been under-reading in the week before the service outage.,count-reviewer,proposed
G0161,161,511,2024-01-12,2024-02-08,missing,medium,The north-east direction of counter 163 dropped counts on and off while the south-west direction kept reading normally.,count-reviewer,proposed
G0161,161,511,2024-04-16,2024-04-24,missing,medium,The same one-direction dropout on 511 came back before the counter failed completely.,count-reviewer,proposed
G0161,161,511,2024-06-17,2024-07-05,missing,medium,"The north-east direction dropped counts on and off again, until the service outage of 6-10 Jul.",count-reviewer,proposed
G0161,161,511,2024-09-03,2024-09-07,missing,medium,"The north-east direction dropped counts again, until the 8-12 Sep outage.",count-reviewer,proposed
G0161,170,,2022-08-02,2022-08-06,uncertain,low,"Counts dropped for five weekdays in a way that looks like a daytime obstruction or works, either a real diversion or a counter problem.",count-reviewer,proposed
G0161,170,,2022-10-03,2022-10-31,missing,medium,"Counter 164 began to fail on the afternoon of 3 Oct 2022, and the east direction almost stopped registering, until the counter was removed.",count-reviewer,proposed
G0162,162,,2021-03-19,2021-03-23,restore,medium,zero_outage removed genuine near-zero riding during the March 2021 extreme-rain event; both directions agree and site 175 fell sharply on the same days.,count-reviewer,proposed
G0162,162,,2021-08-23,2021-08-25,restore,medium,zero_outage removed a genuine rain-day low; both directions counted the same small number and site 175 also dropped that day.,count-reviewer,proposed
G0162,162,,2022-03-09,2022-04-02,missing,medium,"Counter 104 recorded nothing before about 11:00-13:00 every day (both directions), interleaved with warning days, so each day's total is only the afternoon.",count-reviewer,proposed
G0162,162,,2022-05-08,2022-05-10,restore,low,"zero_outage around 2022-05-09 looks like a wet-day low at this weather-sensitive canal path rather than an outage, since both directions still counted a few bikes.",count-reviewer,proposed
G0162,162,,2022-08-15,2022-08-15,missing,high,Partial first day after the 08-08..14 warning outage (zeros until 16:30) counted as a complete day.,count-reviewer,proposed
G0162,162,,2023-07-11,2023-07-11,missing,medium,Counter stopped around 13:15 on the day before the 07-12..19 warning outage.,count-reviewer,proposed
G0162,162,,2023-07-20,2023-07-20,missing,high,Partial first day after the warning outage (zeros until about 16:30).,count-reviewer,proposed
G0162,162,,2024-05-23,2024-05-23,missing,high,"Partial first day after the 05-22 warning day, with no counts before 15:30.",count-reviewer,proposed
G0162,162,,2025-11-03,2025-11-03,missing,high,Counter died at about 10:00 before the 11-04..10 warning outage.,count-reviewer,proposed
G0162,162,,2025-11-11,2025-11-11,missing,high,"Counter reinstalled at about 13:45 after the outage, so the morning zeros are pre-installation.",count-reviewer,proposed
G0162,162,,2025-12-13,2026-09-22,uncertain,low,"Counts roughly tripled overnight from 2025-12-13/14 and stayed high; nothing in the counts suggests a fault, so this is probably a real new link or diversion, but neighbours do not show it.",count-reviewer,proposed
G0162,162,617,2025-06-30,2025-07-02,restore,high,"zero_outage removed 617's rain-day counts, but the other direction on the same counter recorded the same near-zero level, which was kept.",count-reviewer,proposed
G0162,175,,2021-03-11,2021-03-15,missing,medium,Counter 148 was barely registering in its first days (77 warnings 03-12..14) before counting normally from 03-16.,count-reviewer,proposed
G0162,175,,2022-02-13,2022-02-13,missing,high,Counter dead from mid-morning on the day before the 02-14..20 warning outage.,count-reviewer,proposed
G0162,175,,2023-05-16,2023-05-16,missing,high,Counter stopped at about 09:15 before the 2023-05-17..06-04 warning outage.,count-reviewer,proposed
G0162,175,,2023-06-05,2023-06-05,missing,medium,Partial first day after the long warning outage (zeros 06:00-11:45).,count-reviewer,proposed
G0162,175,,2024-03-21,2024-03-21,missing,high,"Partial day at the end of the 03-17..20 outage (250 warnings, 252 zero_outage).",count-reviewer,proposed
G0162,175,,2024-08-12,2024-08-12,missing,medium,Partial first day after the 08-06..11 warning outage.,count-reviewer,proposed
G0162,175,,2025-01-09,2025-01-09,missing,medium,Partial first day after the 01-02..08 outage.,count-reviewer,proposed
G0162,175,,2025-06-09,2025-06-09,missing,high,Counter failing on the day before the 06-10/11 warnings (252 already removed as an outage).,count-reviewer,proposed
G0162,175,,2025-06-12,2025-06-12,missing,high,Partial first day after the 06-10/11 warnings.,count-reviewer,proposed
G0162,175,,2025-06-22,2025-06-22,missing,high,Counter died at about 09:00-10:15 before the 06-23..29 warnings.,count-reviewer,proposed
G0162,175,,2025-06-30,2025-06-30,missing,high,Partial first day after the 06-23..29 warnings.,count-reviewer,proposed
G0162,175,,2025-10-09,2025-10-09,missing,high,Counter dead on the day before the 10-10..23 warnings (252 already removed as an outage).,count-reviewer,proposed
G0162,175,,2025-12-15,2025-12-16,missing,medium,"Outage in both directions: zero_outage caught 252, and 250 has matching long daytime zero runs.",count-reviewer,proposed
G0162,175,,2026-02-11,2026-02-11,missing,high,"Counter restarted at about 17:15, so the day is partial.",count-reviewer,proposed
G0162,175,,2026-06-09,2026-06-09,missing,high,Counter reinstalled at about 13:45 after the 05-29..06-08 gap.,count-reviewer,proposed
G0162,175,252,2022-09-06,2022-09-06,missing,high,252 dead on the same day 250 was a warning.,count-reviewer,proposed
G0162,175,252,2024-08-05,2024-08-05,missing,high,"252 dead from about 10:15 on the day 250 was removed as an outage, before the 08-06..11 warnings.",count-reviewer,proposed
G0165,165,,2023-10-10,2023-10-19,missing,high,"Counter outage: both directions stop at 07:00 on 10 Oct (the East direction's all-day zeros were not caught by zero_outage), warning records run from 11 to 18 Oct, and counting only resumes around 14:30 on 19 Oct.",count-reviewer,proposed
G0165,165,,2024-04-23,2024-04-23,missing,high,"Last day of the record is partial: both directions read zero from 10:30 onward, consistent with the tube counter being removed.",count-reviewer,proposed
G0168,168,,2022-03-12,2022-03-27,uncertain,low,"The counter 161 fault probably started here, but counts may have been only mildly low and the very wet March 2022 weather also depressed riding.",count-reviewer,proposed
G0168,168,,2022-03-28,2022-05-27,missing,medium,"Tube counter 161 was failing in its last two months before replacement: it undercounted both directions (East much more), and its speed readings shifted, a sign that the tube geometry had changed.",count-reviewer,proposed
G0169,169,1585,2025-01-21,2025-01-22,halve,high,Counts doubled for about two days (all slots even).,count-reviewer,proposed
G0169,169,91,2022-10-10,2022-10-10,missing,high,Counter reinstalled around 13:00 after the warning outage; morning zeros are outage.,count-reviewer,proposed
G0169,169,91,2023-01-05,2023-01-07,missing,medium,Tube failing at the same time as the opposite direction's outage; counts far below any plausible level.,count-reviewer,proposed
G0169,169,92,2022-07-27,2022-07-27,missing,high,"Counter reinstalled mid-afternoon after an outage; the zeros before ~15:00 are outage, not real, so the day undercounts.",count-reviewer,proposed
G0169,169,92,2022-11-15,2022-11-15,missing,high,Counter reinstalled mid-afternoon after an outage; morning zeros are outage.,count-reviewer,proposed
G0169,169,92,2023-09-09,2023-09-10,missing,high,Tube failing before the outage from 2023-09-11: counts collapse while the opposite direction stays normal.,count-reviewer,proposed
G0169,169,92,2023-09-18,2023-09-18,missing,high,Counter reinstalled mid-afternoon after the outage; morning zeros are outage.,count-reviewer,proposed
G0169,169,92,2024-06-05,2024-06-05,missing,high,Counter reinstalled around 14:00 during the tube change-over; morning zeros are outage.,count-reviewer,proposed
G0169,169,92,2024-10-14,2024-10-17,missing,medium,Tube undercounting for a few days: afternoon counts collapse on 10-14 and the direction runs far below both the opposite direction and Anzac Bridge.,count-reviewer,proposed
G0169,548,,2024-04-25,2024-04-28,missing,medium,Counter malfunctioning before the warning outage of 04-29..05-02: flat profile with no commuter peaks and night counts as high as daytime.,count-reviewer,proposed
G0169,548,1549,2025-11-18,2025-11-18,halve,high,Counts doubled for one day on the old counter while the replacement counter ran alongside.,count-reviewer,proposed
G0171,171,,2022-07-31,2022-07-31,missing,medium,"The counter stopped registering after about 07:30 on the day before a four-day warning outage (Aug 1-4), so the Sunday's near-zero total is a failure rather than real riding.",count-reviewer,proposed
G0171,171,84,2022-08-04,2022-08-04,missing,high,Dir 84 reports one bike across 96 valid slots on a weekday inside the counter outage; dir 83 is warning the same day.,count-reviewer,proposed
G0178,178,,2018-11-27,2018-11-29,restore,high,zero_outage removed real low counts during the 28 Nov 2018 Sydney record rainstorm.,count-reviewer,proposed
G0178,178,113,2015-04-03,2015-04-05,restore,high,zero_outage removed real low counts over a wet Easter weekend; both directions and the neighbouring Shrimptons Ck counter collapsed the same way.,count-reviewer,proposed
G0178,178,113,2016-06-05,2016-06-06,restore,high,zero_outage removed real near-zero riding during the June 2016 East Coast Low storm.,count-reviewer,proposed
G0178,178,113,2016-06-18,2016-06-20,restore,high,"zero_outage removed real low weekend counts, probably from rain; the other direction and site 177 were just as low.",count-reviewer,proposed
G0178,178,113,2019-03-15,2019-03-18,restore,medium,zero_outage removed low weekend counts that the unflagged other direction confirms; the likely cause is wet weather.,count-reviewer,proposed
G0178,178,114,2017-06-06,2017-06-11,restore,high,zero_outage removed a real week of very low riding; 113 (kept) and site 177 fell by the same amount at the same time.,count-reviewer,proposed
G0178,178,114,2024-11-29,2024-12-01,restore,medium,"zero_outage removed a real low Saturday, probably wet; 113 was also low and site 177 was well below normal.",count-reviewer,proposed
G0179,179,,2021-11-26,2021-11-26,restore,low,Both directions zero in the middle of a very wet low-riding spell in which the unit also recorded 0-2 bike days without a flag; the zero is plausibly real rather than an outage.,count-reviewer,proposed
G0179,179,,2022-03-02,2022-03-02,restore,low,Both directions zero in the middle of a very wet low-riding spell in which the unit also recorded 0-2 bike days without a flag; the zero is plausibly real rather than an outage.,count-reviewer,proposed
G0179,179,,2022-03-08,2022-03-08,restore,low,Both directions zero in the middle of a very wet low-riding spell in which the unit also recorded 0-2 bike days without a flag; the zero is plausibly real rather than an outage.,count-reviewer,proposed
G0179,179,,2022-05-11,2022-05-11,restore,low,Both directions zero in the middle of a very wet low-riding spell in which the unit also recorded 0-2 bike days without a flag; the zero is plausibly real rather than an outage.,count-reviewer,proposed
G0179,179,,2022-07-01,2022-07-06,restore,medium,Early-July 2022 flood week: unit recorded 1 bike on 07-01 and 07-05 (so it was working); the zero direction-days are real near-zero riding.,count-reviewer,proposed
G0179,179,,2022-07-10,2022-07-10,uncertain,low,"Both directions zero on a Sunday between normal days; could be rain or a one-day outage, left missing.",count-reviewer,proposed
G0179,179,,2022-09-03,2022-09-03,uncertain,low,"Both directions zero on a Saturday; next day was low (8) so rain is possible, but an outage cannot be ruled out; left missing.",count-reviewer,proposed
G0179,179,185,2022-02-26,2022-02-26,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2022-03-29,2022-03-29,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2022-06-03,2022-06-03,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2022-10-05,2022-10-05,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2023-01-06,2023-01-06,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2023-10-27,2023-10-27,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2024-04-05,2024-04-05,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2025-07-01,2025-07-01,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,185,2025-08-01,2025-08-01,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,186,2022-02-02,2022-02-02,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,186,2022-04-06,2022-04-06,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,186,2022-05-20,2022-05-20,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,186,2023-11-25,2023-11-25,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,186,2025-07-02,2025-07-02,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0179,179,186,2025-09-10,2025-09-10,restore,medium,"TfNSW flagged a zero direction-day as warning, but the same unit counted the other direction that day on a wet/low-riding day, so the zero is a real count.",count-reviewer,proposed
G0188,188,,2022-04-01,2026-04-19,restore,medium,"After reinstatement the counter carries only 1-3 bikes per direction per day, and TfNSW marks every direction-day with zero bikes as a warning, so these warning days are genuine zero days, not outages.",count-reviewer,proposed
G0188,188,,2022-04-01,2026-04-19,uncertain,medium,"The level after reinstatement (following the light rail works) is about a quarter of the 2019-20 level and the daily profile has changed, so it may reflect a sensor that has lost sensitivity or a changed path layout rather than real traffic.",count-reviewer,proposed
G0188,188,,2024-11-18,2024-11-20,uncertain,low,"A three-day burst in both directions at the same slots, most likely maintenance or works vehicles crossing the strip or a one-off group, not ordinary riding.",count-reviewer,proposed
G0205,205,,2021-08-23,2021-08-25,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2021-11-25,2021-11-27,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2022-06-30,2022-07-07,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage. (early July 2022 floods)",count-reviewer,proposed
G0205,205,,2023-06-27,2023-06-29,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2023-07-03,2023-07-05,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2023-12-19,2023-12-21,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2024-04-04,2024-04-06,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage. (April 2024 heavy rain)",count-reviewer,proposed
G0205,205,,2024-05-30,2024-05-30,uncertain,low,"205 read ~0 all day while 207 (same flow since Feb 2024) still counted ~50 bikes 05:00-10:00 before both went to 0; this could be a morning dropout at 205 followed by a real closure, so the automatic missing is left in place.",count-reviewer,proposed
G0205,205,,2024-09-25,2024-09-27,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2025-03-28,2025-03-29,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2025-06-30,2025-07-03,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2025-09-09,2025-09-11,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage.",count-reviewer,proposed
G0205,205,,2026-04-08,2026-04-11,restore,medium,"A local closure at the River Walk / Louise Sauvage junction: three separate counters (205, 206, 207) fell together while sites 198 and 176 stayed normal, so the low counts are real.",count-reviewer,proposed
G0205,205,352,2021-08-31,2021-09-01,restore,high,"Zeros are in the dusk-to-dawn window, when this path is normally empty (hourly means under 1 bike after 18:00 in winter, 0 from 20:00 to 04:00); the other direction and site 207 were equally quiet.",count-reviewer,proposed
G0205,205,352,2021-09-07,2021-09-10,restore,high,"Zeros are in the dusk-to-dawn window, when this path is normally empty (hourly means under 1 bike after 18:00 in winter, 0 from 20:00 to 04:00); the other direction and site 207 were equally quiet.",count-reviewer,proposed
G0205,205,352,2022-03-07,2022-03-09,restore,high,"Both directions and every nearby counter fell to a few percent of normal together (a weather or flood day), so the zeros are real low riding, not an outage. (March 2022 floods)",count-reviewer,proposed
